,"1","Architecture","Architecture","http://edu.epfl.ch/studyplan/fr/propedeutique/architecture","http://edu.epfl.ch/studyplan/en/propedeutics/architecture","AR"
,"1","Chimie et génie chimique","Chemistry and Chemical Engineering","http://edu.epfl.ch/studyplan/fr/propedeutique/chimie-et-genie-chimique","http://edu.epfl.ch/studyplan/en/propedeutics/chemistry-and-chemical-engineering","CGC"
,"1","Génie civil","Civil Engineering","http://edu.epfl.ch/studyplan/fr/propedeutique/genie-civil","http://edu.epfl.ch/studyplan/en/propedeutics/civil-engineering","GC"
,"1","Systèmes de communication","Communication Systems","http://edu.epfl.ch/studyplan/fr/propedeutique/systemes-de-communication","http://edu.epfl.ch/studyplan/en/propedeutics/communication-systems","SC"
,"1","Informatique","Computer Science","http://edu.epfl.ch/studyplan/fr/propedeutique/informatique","http://edu.epfl.ch/studyplan/en/propedeutics/computer-science","IN"
,"1","Génie électrique et électronique","Electrical and Electronics Engineering","http://edu.epfl.ch/studyplan/fr/propedeutique/genie-electrique-et-electronique","http://edu.epfl.ch/studyplan/en/propedeutics/electrical-and-electronics-engineering","EL"
,"1","Sciences et ingénierie de l'environnement","Environmental Sciences and Engineering","http://edu.epfl.ch/studyplan/fr/propedeutique/sciences-et-ingenierie-de-l-environnement","http://edu.epfl.ch/studyplan/en/propedeutics/environmental-sciences-and-engineering","SIE"
,"1","Sciences humaines et sociales","Humanities and Social Sciences","http://edu.epfl.ch/studyplan/fr/propedeutique/programme-sciences-humaines-et-sociales","http://edu.epfl.ch/studyplan/en/propedeutics/humanities-and-social-sciences-program","SHS"
,"1","Sciences et technologies du vivant","Life Sciences and Technologies","http://edu.epfl.ch/studyplan/fr/propedeutique/sciences-et-technologies-du-vivant","http://edu.epfl.ch/studyplan/en/propedeutics/life-sciences-and-technologies","SV"
,"1","Science et génie des matériaux","Materials Science and Engineering","http://edu.epfl.ch/studyplan/fr/propedeutique/science-et-genie-des-materiaux","http://edu.epfl.ch/studyplan/en/propedeutics/materials-science-and-engineering","MX"
,"1","Mathématiques","Mathematics","http://edu.epfl.ch/studyplan/fr/propedeutique/mathematiques","http://edu.epfl.ch/studyplan/en/propedeutics/mathematics","MA"
,"1","Génie mécanique","Mechanical Engineering","http://edu.epfl.ch/studyplan/fr/propedeutique/genie-mecanique","http://edu.epfl.ch/studyplan/en/propedeutics/mechanical-engineering","GM"
,"1","Microtechnique","Microengineering","http://edu.epfl.ch/studyplan/fr/propedeutique/microtechnique","http://edu.epfl.ch/studyplan/en/propedeutics/microengineering","MT"
,"1","Physique","Physics","http://edu.epfl.ch/studyplan/fr/propedeutique/physique","http://edu.epfl.ch/studyplan/en/propedeutics/physics","PH"
,"2","Architecture","Architecture","http://edu.epfl.ch/studyplan/fr/bachelor/architecture","http://edu.epfl.ch/studyplan/en/bachelor/architecture","AR"
,"2","Chimie et génie chimique","Chemistry and Chemical Engineering","http://edu.epfl.ch/studyplan/fr/bachelor/chimie-et-genie-chimique","http://edu.epfl.ch/studyplan/en/bachelor/chemistry-and-chemical-engineering","CGC"
,"2","Génie civil","Civil Engineering","http://edu.epfl.ch/studyplan/fr/bachelor/genie-civil","http://edu.epfl.ch/studyplan/en/bachelor/civil-engineering","GC"
,"2","Systèmes de communication","Communication Systems","http://edu.epfl.ch/studyplan/fr/bachelor/systemes-de-communication","http://edu.epfl.ch/studyplan/en/bachelor/communication-systems","SC"
,"2","Informatique","Computer Science","http://edu.epfl.ch/studyplan/fr/bachelor/informatique","http://edu.epfl.ch/studyplan/en/bachelor/computer-science","IN"
,"2","Projeter ensemble ENAC","Design & Build Together ENAC","http://edu.epfl.ch/studyplan/fr/bachelor/projeter-ensemble-enac","http://edu.epfl.ch/studyplan/en/bachelor/design-build-together-enac",
,"2","Génie électrique et électronique","Electrical and Electronics Engineering","http://edu.epfl.ch/studyplan/fr/bachelor/genie-electrique-et-electronique","http://edu.epfl.ch/studyplan/en/bachelor/electrical-and-electronics-engineering","EL"
,"2","Sciences et ingénierie de l'environnement","Environmental Sciences and Engineering","http://edu.epfl.ch/studyplan/fr/bachelor/sciences-et-ingenierie-de-l-environnement","http://edu.epfl.ch/studyplan/en/bachelor/environmental-sciences-and-engineering","SIE"
,"2","Sciences humaines et sociales","Humanities and Social Sciences","http://edu.epfl.ch/studyplan/fr/bachelor/programme-sciences-humaines-et-sociales","http://edu.epfl.ch/studyplan/en/bachelor/humanities-and-social-sciences-program","SHS"
,"2","Sciences et technologies du vivant","Life Sciences and Technologies","http://edu.epfl.ch/studyplan/fr/bachelor/sciences-et-technologies-du-vivant","http://edu.epfl.ch/studyplan/en/bachelor/life-sciences-and-technologies","SV"
,"2","Science et génie des matériaux","Materials Science and Engineering","http://edu.epfl.ch/studyplan/fr/bachelor/science-et-genie-des-materiaux","http://edu.epfl.ch/studyplan/en/bachelor/materials-science-and-engineering","MX"
,"2","Mathématiques","Mathematics","http://edu.epfl.ch/studyplan/fr/bachelor/mathematiques","http://edu.epfl.ch/studyplan/en/bachelor/mathematics","MA"
,"2","Génie mécanique","Mechanical Engineering","http://edu.epfl.ch/studyplan/fr/bachelor/genie-mecanique","http://edu.epfl.ch/studyplan/en/bachelor/mechanical-engineering","GM"
,"2","Microtechnique","Microengineering","http://edu.epfl.ch/studyplan/fr/bachelor/microtechnique","http://edu.epfl.ch/studyplan/en/bachelor/microengineering","MT"
,"2","Physique","Physics","http://edu.epfl.ch/studyplan/fr/bachelor/physique","http://edu.epfl.ch/studyplan/en/bachelor/physics","PH"
,"3","Ingénierie mathématique","Applied Mathematics","http://edu.epfl.ch/studyplan/fr/master/ingenierie-mathematique","http://edu.epfl.ch/studyplan/en/master/applied-mathematics",
,"3","Ingénierie physique","Applied Physics","http://edu.epfl.ch/studyplan/fr/master/ingenierie-physique","http://edu.epfl.ch/studyplan/en/master/applied-physics",
,"3","Architecture","Architecture","http://edu.epfl.ch/studyplan/fr/master/architecture","http://edu.epfl.ch/studyplan/en/master/architecture","AR"
,"3","Bioingénierie","Bioengineering","http://edu.epfl.ch/studyplan/fr/master/bioingenierie","http://edu.epfl.ch/studyplan/en/master/bioengineering",
,"3","Génie chimique et biotechnologie","Chemical Engineering and Biotechnology","http://edu.epfl.ch/studyplan/fr/master/genie-chimique-et-biotechnologie","http://edu.epfl.ch/studyplan/en/master/chemical-engineering-and-biotechnology",
,"3","Génie civil","Civil Engineering","http://edu.epfl.ch/studyplan/fr/master/genie-civil","http://edu.epfl.ch/studyplan/en/master/civil-engineering","GC"
,"3","Systèmes de communication","Communication Systems","http://edu.epfl.ch/studyplan/fr/master/systemes-de-communication-master","http://edu.epfl.ch/studyplan/en/master/communication-systems-master-program","SC"
,"3","Science et ingénierie computationnelles","Computational science and Engineering","http://edu.epfl.ch/studyplan/fr/master/science-et-ingenierie-computationnelles","http://edu.epfl.ch/studyplan/en/master/computational-science-and-engineering",
,"3","Informatique","Computer Science","http://edu.epfl.ch/studyplan/fr/master/informatique","http://edu.epfl.ch/studyplan/en/master/computer-science","IN"
,"3","Génie électrique et électronique","Electrical and Electronics Engineering","http://edu.epfl.ch/studyplan/fr/master/genie-electrique-et-electronique","http://edu.epfl.ch/studyplan/en/master/electrical-and-electronics-engineering","EL"
,"3","Sciences et ingénierie de l'environnement","Environmental Sciences and Engineering","http://edu.epfl.ch/studyplan/fr/master/sciences-et-ingenierie-de-l-environnement","http://edu.epfl.ch/studyplan/en/master/environmental-sciences-and-engineering","SIE"
,"3","Ingénierie financière","Financial engineering","http://edu.epfl.ch/studyplan/fr/master/ingenierie-financiere","http://edu.epfl.ch/studyplan/en/master/financial-engineering","IF"
,"3","Sciences humaines et sociales","Humanities and Social Sciences","http://edu.epfl.ch/studyplan/fr/master/programme-sciences-humaines-et-sociales","http://edu.epfl.ch/studyplan/en/master/humanities-and-social-sciences-program","SHS"
,"3","Sciences et technologies du vivant","Life Sciences and Technologies","http://edu.epfl.ch/studyplan/fr/master/sciences-et-technologies-du-vivant-master","http://edu.epfl.ch/studyplan/en/master/life-sciences-and-technologies-master-program","SV"
,"3","Management, technologie et entrepreneuriat","Management, Technology and Entrepreneurship","http://edu.epfl.ch/studyplan/fr/master/management-technologie-et-entrepreneuriat","http://edu.epfl.ch/studyplan/en/master/management-technology-and-entrepreneurship","MTE"
,"3","Science et génie des matériaux","Materials Science and Engineering","http://edu.epfl.ch/studyplan/fr/master/science-et-genie-des-materiaux","http://edu.epfl.ch/studyplan/en/master/materials-science-and-engineering","MX"
,"3","Mathématiques","Mathematics","http://edu.epfl.ch/studyplan/fr/master/mathematiques-master","http://edu.epfl.ch/studyplan/en/master/mathematics-master-program","MA"
,"3","Mathématiques pour l'enseignement","Mathematics for teaching","http://edu.epfl.ch/studyplan/fr/master/mathematiques-pour-l-enseignement","http://edu.epfl.ch/studyplan/en/master/mathematics-for-teaching",
,"3","Génie mécanique","Mechanical Engineering","http://edu.epfl.ch/studyplan/fr/master/genie-mecanique","http://edu.epfl.ch/studyplan/en/master/mechanical-engineering","GM"
,"3","Micro and Nanotechnologies for Integrated Systems","Micro and Nanotechnologies for Integrated Systems","http://edu.epfl.ch/studyplan/fr/master/micro-and-nanotechnologies-for-integrated-systems","http://edu.epfl.ch/studyplan/en/master/micro-and-nanotechnologies-for-integrated-systems",
,"3","Microtechnique","Microengineering","http://edu.epfl.ch/studyplan/fr/master/microtechnique","http://edu.epfl.ch/studyplan/en/master/microengineering","MT"
,"3","Chimie moléculaire et biologique","Molecular & Biological Chemistry","http://edu.epfl.ch/studyplan/fr/master/chimie-moleculaire-et-biologique","http://edu.epfl.ch/studyplan/en/master/molecular-biological-chemistry",
,"3","Génie nucléaire","Nuclear engineering","http://edu.epfl.ch/studyplan/fr/master/genie-nucleaire","http://edu.epfl.ch/studyplan/en/master/nuclear-engineering",
,"3","Physique","Physics","http://edu.epfl.ch/studyplan/fr/master/physique-master","http://edu.epfl.ch/studyplan/en/master/physics-master-program","PH"
,"4","Area and Cultural Studies","Area and Cultural Studies","http://edu.epfl.ch/studyplan/fr/mineur/area-and-cultural-studies","http://edu.epfl.ch/studyplan/en/minor/area-and-cultural-studies",
,"4","Biocomputing","Biocomputing","http://edu.epfl.ch/studyplan/fr/mineur/biocomputing","http://edu.epfl.ch/studyplan/en/minor/biocomputing",
,"4","Technologies biomédicales","Biomedical technologies","http://edu.epfl.ch/studyplan/fr/mineur/technologies-biomedicales","http://edu.epfl.ch/studyplan/en/minor/biomedical-technologies",
,"4","Biotechnologie","Biotechnology","http://edu.epfl.ch/studyplan/fr/mineur/biotechnologie","http://edu.epfl.ch/studyplan/en/minor/biotechnology",
,"4","Neurosciences computationnelles","Computational Neurosciences","http://edu.epfl.ch/studyplan/fr/mineur/neurosciences-computationnelles","http://edu.epfl.ch/studyplan/en/minor/computational-neurosciences",
,"4","Énergie","Energy","http://edu.epfl.ch/studyplan/fr/mineur/energie","http://edu.epfl.ch/studyplan/en/minor/energy",
,"4","Information security","Information security","http://edu.epfl.ch/studyplan/fr/mineur/information-security","http://edu.epfl.ch/studyplan/en/minor/information-security",
,"4","Management, technologie et entrepreneuriat","Management, Technology and Entrepreneurship","http://edu.epfl.ch/studyplan/fr/mineur/management-technologie-et-entrepreneuriat","http://edu.epfl.ch/studyplan/en/minor/management-technology-and-entrepreneurship",
,"4","Design intégré, architecture et durabilité","Integrated Design, Architecture and Durability","http://edu.epfl.ch/studyplan/fr/mineur/design-integre-architecture-et-durabilite","http://edu.epfl.ch/studyplan/en/minor/minor-in-integrated-design-architecture-and-durability",
,"4","Neuroprosthétiques","Neuroprosthetics","http://edu.epfl.ch/studyplan/fr/mineur/neuroprosthetiques","http://edu.epfl.ch/studyplan/en/minor/neuroprosthetics",
,"4","Technologies spatiales","Space technologies","http://edu.epfl.ch/studyplan/fr/mineur/technologies-spatiales","http://edu.epfl.ch/studyplan/en/minor/space-technologies",
,"4","Développement territorial et urbanisme","Urban Planning and Territorial Development","http://edu.epfl.ch/studyplan/fr/mineur/developpement-territorial-et-urbanisme","http://edu.epfl.ch/studyplan/en/minor/urban-planning-and-territorial-development",

